COMENTARIO;VALOR
Me encantó este lugar.;1
La corteza no es buena.;0
No es sabroso y la textura era simplemente desagradable.;0
Nos detuvimos durante el día festivo de finales de mayo de la recomendación de Rick Steve y me encantó.;1
La selección en el menú fue genial y también lo fueron los precios.;1
Ahora me estoy enfadando y quiero mi maldito plato.;0
Honestamente no sabía a nada;0
Las patatas eran como el caucho y se notaban que habían sido inventadas antes de tiempo que se mantenían bajo un calentador.;0
Las papas fritas también eran geniales.;1
Un gran toque.;1
El servicio fue muy rápido.;1
No volvería.;0
El cajero no tenía ningún cuidado lo que nunca en lo que tenía que decir que todavía terminó siendo despreciable .;0
Probé el ravioli de Cape Cod, pollo, con arándano... ¡Mmmm!;1
Estaba disgustado porque estaba bastante seguro de que era cabello humano.;0
Me sorprendió porque no hay señales que indiquen solo dinero en efectivo.;0
Muy recomendable.;1
Camarera era un poco lento en el servicio.;0
Este lugar no es que vale la pena su tiempo, y mucho menos Las Vegas.;0
no me gustó en absoluto.;0
El Burritos Blah!;0
La comida, increíble.;1
El servicio también es lindo.;1
Me podría importar menos... El interior es simplemente hermoso.;1
Así que actuaron.;1
Así es.... el pastel de terciopelo rojo..... oh, estas cosas son tan buenas.;1
Nunca trajeron una ensalada que pedimos.;0
Este hoyo en la pared tiene excelentes tacos callejeros mexicanos y un personal amable.;1
Tomó una hora para obtener nuestra comida sólo 4 mesas en el restaurante mi comida era Luke caliente, Nuestro camarero estaba corriendo alrededor como él estaba totalmente abrumado.;0
Lo peor fue el sashimi de salmón.;0
También hay combos como una hamburguesa, papas fritas y cerveza para 23, que es una oferta decente.;1
¡Esto fue como el golpe final!;0
Encontré este lugar por accidente y no podría ser más feliz.;1
parece un buen lugar rápido para tomar un bocado de algo de comida de pub familiar, pero hágase un favor y busque en otro lugar.;0
En general, me gusta este lugar mucho.;1
La única cualidad redentora del restaurante era que era muy barato.;1
Porciones amplias y buenos precios.;1
Mal servicio, el camarero me hizo sentir como si fuera estúpido cada vez que venía a la mesa.;0
Mi primera visita a Hiro fue una delicia!;1
El servicio apesta.;0
El camarón tierno y húmedo.;1
No hay un acuerdo lo suficientemente bueno que me arrastraría a ese establecimiento de nuevo.;0
Difícil juzgar si estos lados eran buenos porque estábamos brutos por la extirpa derretida y no queríamos comerla por miedo a enfermarnos.;0
En una nota positiva, nuestro servidor fue muy atento y proporcionó un gran servicio.;1
Discos congelados de asco, con algunas de las peores personas detrás del registro.;0
Lo único que me gustó fue la sección de costillas y postres.;1
Es una lástima que la comida sea tan maldita genérica.;0
La hamburguesa es buena carne de res, cocinada a la derecha.;1
Si quieres un sándwich sólo tienes que ir a cualquier bombero!!!!!;1
Mi ensalada griega de lado con el aderezo griego era tan sabrosa, y la pita y el hummus era muy refrescante.;1
Pedimos el pato raro y era rosa y tierno en el interior con un buen carbón en el exterior.;1
Vino corriendo detrás de nosotros cuando se dio cuenta de que mi esposo había dejado sus gafas de sol sobre la mesa.;1
Su chow mein es tan bueno!;1
Tienen actitudes horribles hacia los clientes, y hablan con cada uno cuando los clientes no disfrutan de su comida.;0
La porción era enorme!;1
Me encantó... servidores amables, buena comida, menú maravilloso e imaginativo.;1
El Heart Attack Grill en el centro de Las Vegas es una excusa absolutamente plana para un restaurante.;0
No hay mucho marisco y como 5 cuerdas de pasta en la parte inferior.;0
La ensalada tenía la cantidad justa de salsa para no sobre acerar la vieira, que estaba perfectamente cocinada.;1
El plátano rasgado no sólo estaba rasgado, sino petrificado e insípido.;0
Al menos piensa en rellenar mi agua antes de que me cueste saludarte durante 10 minutos.;0
Este lugar recibe estrellas por sus APERITIVOS!!!;1
Los cócteles son todos hechos a mano y deliciosos.;1
Definitivamente volveríamos aquí de nuevo.;1
Estamos muy contentos de haber encontrado este lugar.;1
Buena comida y servicio, porciones enormes y dan un descuento militar.;1
Siempre un gran momento en Dos Gringos!;1
actualizar..... regresó por segunda vez y todavía era igual de increíble;1
Nos dieron la comida y al parecer nunca han oído hablar de sal y la masa en el pescado era masticable.;0
Una gran manera de terminar un gran.;1
El trato incluyó 5 degustaciones y 2 bebidas, y Jeff fue más allá de lo que esperábamos.;1
Muy, muy buen arroz, todo el tiempo.;1
El servicio era meh.;0
Tardó más de 30 minutos en conseguir su batido, que no era más que leche de chocolate.;0
Supongo que debería haber sabido que este lugar sería un asco, porque está dentro de la Excalibur, pero no usé mi sentido común.;0
